Place,Indicator,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Madrid,Firms (Number) in Manufacture of food products,,,,,,,,"1,289","1,357","1,504",
Madrid,Firms (Number) in Manufacture of wearing apparel,,,,,,,,"1,273","1,322","1,445",
Madrid,Firms (Number) in Repair and installation of machinery and equipment,,,,,,,,"1,172","1,245","1,344",
Madrid,"Revenue (in Thousand Euro) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"3,830,666","4,194,025","5,645,225",
Madrid,Revenue (in Thousand Euro) in Manufacture of other transport equipment,,,,,,,,"5,100,298","5,544,337","5,171,716",
Madrid,Revenue (in Thousand Euro) in Manufacture of food products,,,,,,,,"4,331,491","4,243,724","4,984,939",
Madrid,Revenue (in Thousand Euro) in Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,,,,,,"4,554,693","4,443,679","4,538,530",
Madrid,Revenue (in Thousand Euro) in Manufacture of machinery and equipment n.e.c.,,,,,,,,"2,406,332","2,573,210","2,811,932",
Madrid,"Revenue (in Thousand Euro) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"2,440,956","2,577,963","2,702,387",
Madrid,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"169,801","311,951","171,944",
Madrid,Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,,,,,,,,"145,551","158,236","168,591",
Madrid,Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,,,,,,"105,489","133,888","139,402",
Madrid,Gross Investment in Tangible Goods (Million Euro) in Printing and reproduction of recorded media,,,,,,,,"105,707","72,429","79,354",
Madrid,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"94,544","95,588","72,475",
Madrid,Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,,,,,,,,"51,852","78,513","63,380",
Madrid,"Employment (Number, FTE) in Manufacture of food products",,,,,,,,"17,745","19,351","20,811",
